gram@jgk1957m	@jgk1957m	16.02	16.366	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act
gram@jgk1957m	@jgk1957m	16.366	16.758	Degree=Pos
gram@jgk1957m	@jgk1957m	16.758	16.776	_
gram@jgk1957m	@jgk1957m	16.776	16.803	_
gram@jgk1957m	@jgk1957m	16.803	17.155	Case=Acc|Gender=Fem
gram@jgk1957m	@jgk1957m	17.155	17.618	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing
gram@jgk1957m	@jgk1957m	17.618	17.633	_
gram@jgk1957m	@jgk1957m	17.633	18.202	Aspect=Perf|Gender=Fem|Number=Sing|Tense=Past|Variant=Short|VerbForm=Part|Voice=Pass
gram@jgk1957m	@jgk1957m	18.202	18.287	_
gram@jgk1957m	@jgk1957m	18.287	18.733	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing
gram@jgk1957m	@jgk1957m	18.733	19.16	_
gram@jgk1957m	@jgk1957m	19.16	20.173	Case=Gen|Degree=Pos|Gender=Fem|Number=Sing
gram@jgk1957m	@jgk1957m	20.173	20.494	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing
gram@jgk1957m	@jgk1957m	20.494	20.861	Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing
gram@jgk1957m	@jgk1957m	20.861	20.901	_
gram@jgk1957m	@jgk1957m	20.901	21.373	_
gram@jgk1957m	@jgk1957m	21.373	21.842	Animacy=Anim|Case=Ins|Gender=Masc|Number=Sing
gram@jgk1957m	@jgk1957m	21.842	21.933	_
gram@jgk1957m	@jgk1957m	21.933	22.073	_
gram@jgk1957m	@jgk1957m	22.073	22.183	Case=Nom|Number=Sing|Person=1
gram@jgk1957m	@jgk1957m	22.183	22.273	_
gram@jgk1957m	@jgk1957m	22.273	22.75	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act
gram@jgk1957m	@jgk1957m	22.75	23.411	Aspect=Perf|VerbForm=Inf|Voice=Act
gram@jgk1957m	@jgk1957m	23.411	23.422	_
gram@jgk1957m	@jgk1957m	23.422	23.449	_
gram@jgk1957m	@jgk1957m	23.449	24.085	Animacy=Anim|Case=Ins|Gender=Masc|Number=Sing
gram@jgk1957m	@jgk1957m	24.085	24.665	Case=Gen|Degree=Pos|Gender=Fem|Number=Sing
gram@jgk1957m	@jgk1957m	24.665	25.11	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing
gram@jgk1957m	@jgk1957m	25.11	25.333	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act
gram@jgk1957m	@jgk1957m	25.333	25.679	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing
gram@jgk1957m	@jgk1957m	25.679	26.168	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing
gram@jgk1957m	@jgk1957m	26.168	26.834	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing
gram@jgk1957m	@jgk1957m	26.834	27.013	_
gram@jgk1957m	@jgk1957m	27.013	27.329	_
gram@jgk1957m	@jgk1957m	27.329	27.758	_
gram@jgk1957m	@jgk1957m	27.758	27.769	_
gram@jgk1957m	@jgk1957m	27.769	28.48	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing
gram@jgk1957m	@jgk1957m	28.48	28.496	_
gram@jgk1957m	@jgk1957m	28.496	29.631	Aspect=Imp|Case=Nom|Gender=Masc|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Mid
gram@jgk1957m	@jgk1957m	29.631	29.641	_
gram@jgk1957m	@jgk1957m	29.641	29.976	_
gram@jgk1957m	@jgk1957m	29.976	30.186	Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing
gram@jgk1957m	@jgk1957m	30.186	30.198	_
gram@jgk1957m	@jgk1957m	30.198	30.292	_
gram@jgk1957m	@jgk1957m	30.292	31.0	Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing
gram@jgk1957m	@jgk1957m	31.0	31.956	Case=Gen|Degree=Pos|Number=Plur
gram@jgk1957m	@jgk1957m	31.956	32.408	Animacy=Inan|Case=Gen|Gender=Fem|Number=Plur
gram@jgk1957m	@jgk1957m	32.408	32.422	_
gram@jgk1957m	@jgk1957m	32.422	32.526	_
gram@jgk1957m	@jgk1957m	32.526	32.863	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing
gram@jgk1957m	@jgk1957m	32.863	33.59	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing
gram@jgk1957m	@jgk1957m	33.59	33.732	_
gram@jgk1957m	@jgk1957m	33.732	33.987	Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing
gram@jgk1957m	@jgk1957m	33.987	34.344	Case=Nom|Gender=Fem|Number=Sing
gram@jgk1957m	@jgk1957m	34.344	34.857	Case=Nom
gram@jgk1957m	@jgk1957m	34.857	35.422	Case=Gen|Degree=Pos|Gender=Masc|Number=Sing
gram@jgk1957m	@jgk1957m	35.422	35.706	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing
gram@jgk1957m	@jgk1957m	35.706	35.712	_
gram@jgk1957m	@jgk1957m	35.712	36.844	Aspect=Perf|Case=Gen|Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part|Voice=Pass
gram@jgk1957m	@jgk1957m	36.844	37.086	_
gram@jgk1957m	@jgk1957m	37.086	37.142	_
gram@jgk1957m	@jgk1957m	37.142	37.779	Animacy=Inan|Case=Dat|Gender=Masc|Number=Sing
gram@jgk1957m	@jgk1957m	37.779	37.801	_
gram@jgk1957m	@jgk1957m	37.801	38.211	Degree=Pos|Gender=Masc|Number=Sing|Variant=Short
gram@jgk1957m	@jgk1957m	38.211	38.642	Aspect=Perf|VerbForm=Inf|Voice=Act
gram@jgk1957m	@jgk1957m	38.642	38.664	_
gram@jgk1957m	@jgk1957m	38.664	38.844	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing
gram@jgk1957m	@jgk1957m	38.844	39.037	Case=Acc|Number=Plur|Person=2
gram@jgk1957m	@jgk1957m	39.037	39.501	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act
gram@jgk1957m	@jgk1957m	39.501	39.527	_
gram@jgk1957m	@jgk1957m	39.527	39.633	_
gram@jgk1957m	@jgk1957m	39.633	39.757	_
gram@jgk1957m	@jgk1957m	39.757	40.061	Case=Acc
gram@jgk1957m	@jgk1957m	40.061	40.254	Animacy=Inan|Case=Gen|Gender=Masc|Number=Plur
gram@jgk1957m	@jgk1957m	40.254	40.758	Degree=Cmp
gram@jgk1957m	@jgk1957m	40.758	41.26	_
gram@jgk1957m	@jgk1957m	41.26	41.693	_
gram@jgk1957m	@jgk1957m	41.693	41.708	_
gram@jgk1957m	@jgk1957m	41.708	42.291	Case=Nom|Degree=Pos|Gender=Masc|Number=Sing
gram@jgk1957m	@jgk1957m	42.291	43.467	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing
gram@jgk1957m	@jgk1957m	43.467	43.95	_
gram@jgk1957m	@jgk1957m	43.95	45.103	_
gram@jgk1957m	@jgk1957m	45.103	45.204	_
gram@jgk1957m	@jgk1957m	45.204	46.108	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing
gram@jgk1957m	@jgk1957m	46.108	46.629	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing
gram@jgk1957m	@jgk1957m	46.629	47.247	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing
gram@jgk1957m	@jgk1957m	47.247	47.375	_
gram@jgk1957m	@jgk1957m	47.375	47.921	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing
gram@jgk1957m	@jgk1957m	47.921	48.59	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing
gram@jgk1957m	@jgk1957m	48.59	49.249	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing
gram@jgk1957m	@jgk1957m	49.249	49.286	_
gram@jgk1957m	@jgk1957m	49.286	49.37	_
gram@jgk1957m	@jgk1957m	49.37	49.377	_
gram@jgk1957m	@jgk1957m	49.377	50.073	Aspect=Imp|Mood=Ind|Number=Plur|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act
gram@jgk1957m	@jgk1957m	50.073	50.212	_
gram@jgk1957m	@jgk1957m	50.212	50.472	Animacy=Inan|Case=Loc|Gender=Neut|Number=Sing
gram@jgk1957m	@jgk1957m	50.472	50.494	_
gram@jgk1957m	@jgk1957m	50.494	50.611	_
gram@jgk1957m	@jgk1957m	50.611	51.18	Animacy=Inan|Case=Loc|Gender=Neut|Number=Sing
gram@jgk1957m	@jgk1957m	51.18	51.658	Degree=Pos
gram@jgk1957m	@jgk1957m	51.658	51.84	_
gram@jgk1957m	@jgk1957m	51.84	52.353	_
gram@jgk1957m	@jgk1957m	52.353	52.405	_
